Date,FHX,FHVEC14,FHVEC30,FG14,FG30,FHX14,FHX30,FHN30,TX4,SQ2,SQ4,SQ14,SQ30,T10N30,DR30,RH14,RH30,RHX30,UG,UG1,UG2,UG3,UG4,UG14,UG30,UX30,UN,UN1,UN2,UN3,UN4,UN14,UN30,PG2,PG3,PG4,PG14,PX14,PN2,PN3,PN4,PN14,class
1998-12-05,60.0,26.07142857142857,21.08695652173913,28.57142857142857,24.08695652173913,41.42857142857143,37.39130434782609,10.869565217391305,8.0,0.0,10.0,17.642857142857142,23.04347826086957,-28.26086956521739,15.565217391304348,12.0,9.608695652173912,3.391304347826087,92.0,92.0,87.0,79.0,85.0,87.92857142857143,89.1304347826087,94.65217391304348,87.0,87.0,83.0,73.0,79.0,80.5,80.34782608695652,10207,10324,10368,10208.42857142857,10246.214285714286,10130,10279,10360,10171.357142857143,0
1998-12-06,50.0,26.642857142857146,21.5,29.285714285714285,24.45833333333333,42.857142857142854,37.91666666666666,11.25,-19.0,10.0,0.0,15.214285714285715,23.70833333333333,-28.75,14.958333333333336,12.071428571428573,9.25,3.2916666666666665,78.0,92.0,92.0,87.0,79.0,88.0,88.66666666666669,94.375,64.0,87.0,87.0,83.0,73.0,80.57142857142857,79.66666666666667,10056,10207,10324,10197.07142857143,10236.142857142857,10031,10130,10279,10157.07142857143,0
1998-12-07,20.0,26.785714285714285,21.08,29.42857142857143,24.04,42.857142857142854,37.2,10.8,-13.0,20.0,0.0,15.071428571428573,25.28,-32.72,14.36,12.071428571428573,8.88,3.16,88.0,78.0,92.0,92.0,87.0,88.35714285714286,88.64,94.36,66.0,64.0,87.0,87.0,83.0,80.71428571428571,79.12,10039,10056,10207,10197.5,10238.357142857143,10018,10031,10130,10155.785714285714,0
1998-12-08,30.0,26.857142857142854,20.884615384615387,29.5,23.80769230769231,42.857142857142854,36.92307692307692,10.384615384615383,28.0,39.0,10.0,13.285714285714285,24.76923076923077,-36.57692307692308,14.461538461538463,12.5,8.76923076923077,3.1923076923076925,92.0,88.0,78.0,92.0,92.0,89.0,88.76923076923076,94.46153846153848,84.0,66.0,64.0,87.0,87.0,81.35714285714286,79.30769230769229,10152,10039,10056,10202.857142857143,10243.5,10071,10018,10031,10160.214285714286,0
1998-12-09,30.0,27.57142857142857,21.037037037037038,30.07142857142857,23.85185185185185,42.857142857142854,36.66666666666666,10.74074074074074,19.0,63.0,20.0,13.285714285714285,23.85185185185185,-35.2962962962963,17.185185185185187,15.285714285714285,9.925925925925926,3.333333333333333,96.0,92.0,88.0,78.0,92.0,89.42857142857143,89.03703703703705,94.5925925925926,91.0,84.0,66.0,64.0,87.0,81.85714285714286,79.74074074074075,10262,10152,10039,10206.714285714286,10248.0,10218,10071,10018,10164.42857142857,0
1998-12-10,30.0,26.92857142857143,20.964285714285715,29.357142857142854,23.714285714285715,41.42857142857143,36.42857142857143,10.714285714285714,35.0,12.0,39.0,13.285714285714285,23.0,-33.607142857142854,16.571428571428573,12.857142857142858,9.571428571428571,3.2142857142857144,99.0,96.0,92.0,88.0,78.0,89.7857142857143,89.39285714285714,94.75,98.0,91.0,84.0,66.0,64.0,82.64285714285714,80.39285714285714,10296,10262,10152,10210.142857142857,10250.142857142857,10266,10218,10071,10169.142857142857,0
1998-12-11,40.0,26.285714285714285,20.896551724137925,29.0,23.724137931034484,40.714285714285715,36.55172413793103,10.689655172413792,33.0,0.0,63.0,13.285714285714285,22.20689655172414,-32.241379310344826,16.24137931034483,12.357142857142858,9.310344827586208,3.1724137931034484,96.0,99.0,96.0,92.0,88.0,89.7857142857143,89.6206896551724,94.93103448275862,92.0,98.0,91.0,84.0,66.0,82.71428571428571,80.79310344827586,10236,10296,10262,10211.357142857143,10249.142857142857,10225,10266,10218,10172.92857142857,0
1998-12-12,50.0,27.07142857142857,21.366666666666667,29.857142857142854,24.16666666666667,41.42857142857143,37.0,11.0,-2.0,0.0,12.0,11.0,21.466666666666665,-29.36666666666667,17.933333333333334,18.214285714285715,12.1,3.9,98.0,96.0,99.0,96.0,92.0,90.21428571428572,89.9,95.1,95.0,92.0,98.0,91.0,84.0,83.71428571428571,81.26666666666667,10205,10236,10296,10209.214285714286,10248.142857142857,10166,10225,10266,10167.714285714286,0
1998-12-13,140.0,31.42857142857143,23.16666666666667,34.0,26.0,48.57142857142857,40.333333333333336,11.333333333333336,20.0,0.0,0.0,11.142857142857142,21.53333333333333,-28.66666666666667,16.633333333333333,16.5,11.8,4.133333333333334,82.0,98.0,96.0,99.0,96.0,89.42857142857143,89.6,95.06666666666666,73.0,95.0,92.0,98.0,91.0,82.64285714285714,80.86666666666666,10169,10205,10236,10210.357142857143,10251.714285714286,10157,10166,10225,10162.142857142857,0
1998-12-14,70.0,32.92857142857143,24.63333333333333,35.57142857142857,27.4,50.714285714285715,41.66666666666666,12.333333333333336,21.0,0.0,0.0,12.928571428571427,22.36666666666667,-26.8,16.066666666666666,17.214285714285715,11.633333333333333,4.133333333333334,92.0,82.0,98.0,96.0,99.0,89.7142857142857,89.43333333333334,95.06666666666666,86.0,73.0,95.0,92.0,98.0,82.71428571428571,80.66666666666667,10143,10169,10205,10205.857142857143,10244.92857142857,10064,10157,10166,10162.0,0
1998-12-15,60.0,32.42857142857143,25.6,35.357142857142854,28.36666666666667,50.714285714285715,42.66666666666666,13.0,61.0,2.0,0.0,12.214285714285715,22.33333333333333,-25.4,20.4,29.357142857142854,17.3,5.166666666666667,97.0,92.0,82.0,98.0,96.0,90.57142857142857,89.36666666666666,95.03333333333332,88.0,86.0,73.0,95.0,92.0,83.35714285714286,80.36666666666666,10185,10143,10169,10196.07142857143,10235.5,10051,10064,10157,10151.42857142857,0
1998-12-16,50.0,31.785714285714285,26.266666666666666,34.714285714285715,28.86666666666667,49.28571428571429,43.0,13.333333333333336,131.0,25.0,0.0,15.0,22.13333333333333,-24.03333333333333,20.5,29.42857142857143,17.366666666666667,5.233333333333333,94.0,97.0,92.0,82.0,98.0,91.64285714285714,89.6,95.0,87.0,88.0,86.0,73.0,95.0,84.35714285714286,80.76666666666667,10240,10185,10143,10193.714285714286,10231.714285714286,10232,10051,10064,10148.714285714286,0
1998-12-17,40.0,33.07142857142857,26.8,35.642857142857146,29.36666666666667,50.714285714285715,43.66666666666666,13.666666666666664,132.0,0.0,2.0,17.857142857142858,22.83333333333333,-22.63333333333333,20.5,29.42857142857143,17.4,5.266666666666667,83.0,94.0,97.0,92.0,82.0,91.35714285714286,89.4,95.0,62.0,87.0,88.0,86.0,73.0,82.85714285714286,80.6,10231,10240,10185,10196.214285714286,10232.857142857143,10212,10232,10051,10152.142857142857,0
1998-12-18,60.0,34.07142857142857,27.7,36.357142857142854,30.2,52.14285714285714,44.33333333333334,14.666666666666664,131.0,39.0,25.0,17.142857142857142,22.5,-19.566666666666666,20.633333333333333,27.642857142857146,17.133333333333333,4.933333333333334,95.0,83.0,94.0,97.0,92.0,91.57142857142857,89.4,95.03333333333332,84.0,62.0,87.0,88.0,86.0,82.64285714285714,80.33333333333333,10291,10231,10240,10203.0,10237.07142857143,10241,10212,10232,10155.285714285714,0
1998-12-19,100.0,35.07142857142857,29.2,37.357142857142854,31.66666666666667,55.0,46.66666666666666,15.666666666666664,122.0,40.0,0.0,16.571428571428573,20.733333333333334,-16.133333333333333,22.13333333333333,28.0,18.666666666666668,5.233333333333333,91.0,95.0,83.0,94.0,97.0,91.5,89.53333333333332,94.93333333333334,80.0,84.0,62.0,87.0,88.0,82.14285714285714,80.86666666666666,10242,10291,10231,10203.214285714286,10237.07142857143,10178,10241,10212,10154.5,0
1998-12-20,40.0,34.42857142857143,29.766666666666666,36.714285714285715,32.13333333333333,54.28571428571429,47.33333333333334,16.0,88.0,0.0,39.0,17.642857142857142,20.2,-13.766666666666667,22.266666666666666,28.07142857142857,18.733333333333334,5.266666666666667,88.0,91.0,95.0,83.0,94.0,92.21428571428572,89.46666666666668,94.96666666666668,78.0,80.0,84.0,62.0,87.0,83.14285714285714,81.0,10151,10242,10291,10199.5,10231.42857142857,10075,10178,10241,10153.785714285714,0
1998-12-21,40.0,35.285714285714285,30.03333333333333,37.5,32.4,55.714285714285715,47.66666666666666,16.333333333333332,77.0,12.0,40.0,17.5,19.8,-11.633333333333333,22.266666666666666,28.0,18.7,5.233333333333333,91.0,88.0,91.0,95.0,83.0,92.42857142857143,89.7,95.03333333333332,84.0,78.0,80.0,84.0,62.0,84.42857142857143,81.3,10042,10151,10242,10194.142857142857,10225.357142857143,10007,10075,10178,10147.92857142857,0
1998-12-22,40.0,36.142857142857146,30.2,38.357142857142854,32.63333333333333,56.42857142857143,48.0,16.666666666666668,74.0,54.0,0.0,17.714285714285715,17.866666666666667,-8.333333333333334,22.83333333333333,27.857142857142854,18.83333333333333,5.3,94.0,91.0,88.0,91.0,95.0,92.57142857142857,90.26666666666668,95.5,83.0,84.0,78.0,80.0,84.0,84.35714285714286,81.96666666666667,10100,10042,10151,10189.0,10220.5,10061,10007,10075,10143.57142857143,0
1998-12-23,50.0,37.357142857142854,31.3,39.57142857142857,33.63333333333333,57.85714285714285,49.0,17.666666666666668,79.0,61.0,12.0,18.214285714285715,15.933333333333335,-4.233333333333333,22.83333333333333,24.92857142857143,18.8,5.266666666666667,87.0,94.0,91.0,88.0,91.0,91.92857142857143,90.4,95.66666666666669,73.0,83.0,84.0,78.0,80.0,83.07142857142857,82.26666666666667,10187,10100,10042,10186.0,10218.57142857143,10136,10061,10007,10138.5,0
1998-12-24,60.0,38.42857142857143,31.93333333333333,40.714285714285715,34.266666666666666,60.0,50.0,18.666666666666668,59.0,15.0,54.0,20.5,15.766666666666667,-1.3,23.83333333333333,26.285714285714285,19.433333333333334,5.566666666666666,91.0,87.0,94.0,91.0,88.0,91.35714285714286,90.66666666666669,95.9,84.0,73.0,83.0,84.0,78.0,82.07142857142857,82.56666666666666,10224,10187,10100,10183.642857142857,10216.642857142857,10205,10136,10061,10136.57142857143,0
1998-12-25,90.0,41.714285714285715,33.6,43.64285714285715,35.86666666666667,63.57142857142857,52.0,20.0,41.0,7.0,61.0,20.5,15.766666666666667,0.6,25.43333333333333,29.57142857142857,21.0,6.2,94.0,91.0,87.0,94.0,91.0,91.21428571428572,90.8,96.03333333333332,83.0,84.0,73.0,83.0,84.0,81.42857142857143,82.53333333333333,10194,10224,10187,10181.357142857143,10215.57142857143,10154,10205,10136,10128.92857142857,0
1998-12-26,110.0,44.14285714285715,34.96666666666667,46.35714285714285,37.36666666666667,67.85714285714286,54.0,21.0,60.0,32.0,15.0,23.0,16.933333333333334,2.466666666666667,25.566666666666666,26.42857142857143,21.5,6.2,84.0,94.0,91.0,87.0,94.0,90.21428571428572,90.46666666666668,95.9,75.0,83.0,84.0,73.0,83.0,80.0,82.13333333333334,10172,10194,10224,10175.57142857143,10212.0,10139,10154,10205,10120.785714285714,0
1998-12-27,110.0,42.714285714285715,36.13333333333333,45.07142857142857,38.63333333333333,65.71428571428571,56.0,21.66666666666667,61.0,0.0,7.0,22.857142857142854,16.933333333333334,3.4,27.066666666666666,28.5,22.766666666666666,6.633333333333334,81.0,84.0,94.0,91.0,87.0,90.14285714285714,89.96666666666668,95.9,60.0,75.0,83.0,84.0,73.0,79.07142857142857,81.1,10137,10172,10194,10162.0,10194.42857142857,10050,10139,10154,10114.0,0
1998-12-28,50.0,41.785714285714285,36.66666666666666,44.07142857142857,39.16666666666666,64.28571428571429,56.33333333333334,22.33333333333333,52.0,35.0,32.0,21.071428571428573,15.866666666666667,3.533333333333333,27.9,31.214285714285715,24.0,6.833333333333332,89.0,81.0,84.0,94.0,91.0,89.92857142857143,89.86666666666666,95.83333333333331,83.0,60.0,75.0,83.0,84.0,78.85714285714286,81.16666666666667,10062,10137,10172,10149.857142857143,10185.857142857143,9950,10050,10139,10098.785714285714,0
1998-12-29,50.0,41.214285714285715,36.86666666666667,43.57142857142857,39.4,63.57142857142857,56.66666666666666,22.33333333333333,94.0,0.0,0.0,24.285714285714285,17.366666666666667,3.933333333333333,25.766666666666666,19.071428571428573,22.6,6.533333333333332,87.0,89.0,81.0,84.0,94.0,89.2142857142857,89.66666666666669,95.8,78.0,83.0,60.0,75.0,83.0,78.14285714285714,80.83333333333333,9995,10062,10137,10145.07142857143,10182.07142857143,9956,9950,10050,10093.0,0
1998-12-30,40.0,40.785714285714285,36.833333333333336,43.07142857142857,39.36666666666667,62.85714285714285,56.66666666666666,22.33333333333333,112.0,0.0,35.0,25.5,19.233333333333334,4.966666666666667,25.766666666666666,19.0,22.6,6.533333333333332,82.0,87.0,89.0,81.0,84.0,88.35714285714286,89.46666666666668,95.6,71.0,78.0,83.0,60.0,75.0,77.0,80.36666666666666,10070,9995,10062,10133.0,10169.5,10019,9956,9950,10083.714285714286,0
